Wavelength(nm),Transmittance(%)
1200.0,0.116025202
1199.5,0.111359462
1199.0,0.113237962
1198.5,0.104932055
1198.0,0.111678816
1197.5,0.10926868
1197.0,0.105928712
1196.5,0.103057779
1196.0,0.104832172
1195.5,0.104041003
1195.0,0.095449805
1194.5,0.09526848
1194.0,0.094720207
1193.5,0.092463955
1193.0,0.092075154
1192.5,0.092270933
1192.0,0.087195188
1191.5,0.087486826
1191.0,0.086465068
1190.5,0.085531347
1190.0,0.082637839
1189.5,0.083558515
1189.0,0.075714089
1188.5,0.082445025
1188.0,0.07724227
1187.5,0.071330838
1187.0,0.076442093
1186.5,0.07152883
1186.0,0.070703067
1185.5,0.068246946
1185.0,0.06807337
1184.5,0.064976595
1184.0,0.066600695
1183.5,0.062782407
1183.0,0.064806551
1182.5,0.061603524
1182.0,0.0601447
1181.5,0.059391391
1181.0,0.058136187
1180.5,0.056348309
1180.0,0.053409122
1179.5,0.057769556
1179.0,0.054607384
1178.5,0.048981112
1178.0,0.051472541
1177.5,0.052907243
1177.0,0.051304586
1176.5,0.051309552
1176.0,0.048441034
1175.5,0.046583515
1175.0,0.044963945
1174.5,0.041780751
1174.0,0.045226309
1173.5,0.045494478
1173.0,0.041130316
1172.5,0.041403834
1172.0,0.043627229
1171.5,0.039769281
1171.0,0.037872117
1170.5,0.037927732
1170.0,0.035537422
1169.5,0.034010757
1169.0,0.035750739
1168.5,0.041343328
1168.0,0.03268024
1167.5,0.035586402
1167.0,0.032858942
1166.5,0.034014769
1166.0,0.03347794
1165.5,0.029894523
1165.0,0.032442469
1164.5,0.030865313
1164.0,0.028468732
1163.5,0.030759096
1163.0,0.029417526
1162.5,0.027340952
1162.0,0.028864853
1161.5,0.028268963
1161.0,0.025779935
1160.5,0.027809583
1160.0,0.027276505
1159.5,0.021774791
1159.0,0.023651287
1158.5,0.026075711
1158.0,0.026522897
1157.5,0.025286479
1157.0,0.022391984
1156.5,0.024052128
1156.0,0.026745964
1155.5,0.026275765
1155.0,0.017376274
1154.5,0.018662833
1154.0,0.022688689
1153.5,0.021891188
1153.0,0.019543054
1152.5,0.022015484
1152.0,0.026609981
1151.5,0.020817319
1151.0,0.012578295
1150.5,0.022295753
1150.0,0.022920089
1149.5,0.018979577
1149.0,0.016282056
1148.5,0.01712038
1148.0,0.018359059
1147.5,0.021671195
1147.0,0.01839635
1146.5,0.016626742
1146.0,0.017586056
1145.5,0.017083999
1145.0,0.020458769
1144.5,0.016646443
1144.0,0.012909416
1143.5,0.017998859
1143.0,0.018913282
1142.5,0.012464446
1142.0,0.014143491
1141.5,0.015996579
1141.0,0.021594506
